TabooSize,bestLocal
0,107768
1,107801
2,107923
3,107951
4,108093
5,108535
6,108132
7,108094
8,108076
9,108012
10,108023
11,108069
12,108051
13,107979
14,108019
15,108210
16,108062
17,108228
18,108054
19,107979
20,108243
21,108069
22,108118
23,108339
24,108324
25,108137
26,107927
27,108039
28,107808
29,108346
30,107832
31,108026
32,107915
33,107946
34,107881
35,107768
36,107768
37,107768
38,107768
39,107768
40,107837
41,107872
42,107913
43,107768
44,107768
45,107768
46,107768
47,107768
48,107768
49,107768
50,107768
51,107768
52,107768
53,107768
54,107955
55,107939
56,107987
57,108186
58,107993
59,107842
60,107922
61,107848
62,107901
63,107768
64,107768
65,107768
66,107768
67,107768
68,107768
69,107768
70,107768
71,107768
72,107768
73,107768
74,107768
75,107768
76,107768
77,107768
78,107768
79,107768
80,107768
81,107768
82,107768
83,107768
84,107768
85,107768
86,107768
87,107768
88,107768
89,107768
90,107768
91,107768
92,107768
93,107768
94,107768
95,107768
96,107768
97,107768
98,107768
99,107768
100,107768
101,107768
102,107768
103,107768
104,107768
105,107768
106,107768
107,107768
108,107768
109,107768
110,107768
111,107768
112,107768
113,107768
114,107768
115,107768
116,107768
117,107768
118,107768
119,107768
120,107768
121,107768
122,107768
123,107768
124,107768
125,107768
126,107768
127,107768
128,107768
129,107768
130,107768
131,107768
132,107768
133,107768
134,107768
135,107768
136,107768
137,107768
138,107768
139,107768
140,107768
141,107768
142,107768
143,107768
144,107768
145,107768
146,107768
147,107768
148,107768
149,107768
150,107768
151,107768
152,107768
153,107768
154,107768
155,107768
156,107768
157,107768
158,107768
159,107768
160,107768
161,107768
162,107768
163,107768
164,107768
165,107768
166,107768
167,107768
168,107768
169,107768
170,107768
171,107768
172,107768
173,107768
174,107768
175,107768
176,107768
177,107768
178,107768
179,107768
180,107768
181,107768
182,107768
183,107768
184,107768
185,107768
186,107768
187,107768
188,107768
189,107768
190,107768
191,107768
192,107768
193,107768
194,107768
195,107768
196,107768
197,107768
198,107768
199,107768
200,107768
201,107768
202,107768
203,107768
204,107768
205,107768
206,107768
207,107768
208,107768
209,107768
210,107768
211,107768
212,107834
213,107899
214,107768
215,107768
216,108443
217,108079
218,107768
219,108356
220,107851
221,107836
222,107977
223,108187
224,108092
225,107846
226,107818
227,108448
228,108401
229,108307
230,108250
231,108005
232,108529
233,108486
234,108291
235,107907
236,108291
237,108185
238,107936
239,107768
240,107856
241,107768
242,108126
243,107903
244,107876
245,107920
246,107768
247,107768
248,107768
249,107768
250,107768
251,107768
252,107768
253,107768
254,107768
255,107768
256,107768
257,107768
258,107768
259,107768
260,107768
261,107768
262,107768
263,107833
264,107768
265,108079
266,108326
267,107784
268,107768
269,107768
270,107768
271,107768
272,108069
273,108018
274,107768
275,107768
276,107768
277,107768
278,107768
279,107768
280,107768
281,107768
282,107768
283,107809
284,108097
285,107768
286,107768
287,107768
288,107768
289,107768
290,107768
291,107768
292,107768
293,107768
294,107768
295,107768
296,107768
297,107768
298,107768
299,108283
300,107768
301,107903
302,107768
303,107768
