i,s_i,w_i
0,0,0
1,219380,219380
2,438250,438250
3,656465,656465
4,874120,874120
5,1091771,1091771
6,1094960,1094960
7,1094968,1094968
8,1094968,1094990
9,1094968,1095040
10,1094968,1095114
11,1094968,1095195
12,1094968,1095282
13,1094968,1095406
14,1094968,1095534
15,1094968,876154
16,1094968,1093687
17,1094968,1094014
18,1094968,876359
19,1094968,1093572
20,1094968,1094009
21,1094968,1094001
22,1094968,1093979
23,1094968,1093929
24,1094968,1093855
25,1094968,1094000
26,1094968,1093919
27,1094968,1093832
28,1094968,1093976
29,1094968,1093852
30,1094968,1093724
31,1094968,1094024
32,1094968,1093697
33,1094968,1093981
34,1094968,1093544
35,1094968,1094003
36,1094968,1090814
37,1094968,1093944
38,1094968,1094018
39,1094968,1094040
40,1094968,1094048
41,1094968,1093903
42,1094968,1093990
43,1094968,1094040
44,1094968,1093896
45,1094968,1094024
46,1094968,1093724
47,1094968,1094051
48,1094968,1093767
49,1094968,1094035
50,1094968,1093576
51,1094968,1094013
52,1094968,1093939
53,1094968,1094063
54,1094968,1094055
55,1094968,1094033
56,1094968,1093946
57,1094968,1094027
58,1094968,1093977
59,1094968,1093849
60,1094968,1094093
61,1094968,1093766
62,1094968,1094066
63,1094968,1093798
64,1094968,1094052
65,1094968,1093615
66,1094968,1093991
67,1094968,1093867
68,1094968,1094012
69,1094968,1094034
70,1094968,1090904
71,1094968,1094008
72,1094968,1094016
73,1094968,1093935
74,1094968,1094022
75,1094968,1093778
76,1094968,1094028
77,1094968,1093728
78,1094968,1094055
79,1094968,1093801
80,1094968,1094069
81,1094968,1093693
82,1094968,1094067
83,1094968,1094045
84,1094968,1094095
85,1094968,1093950
86,1094968,1094094
87,1094968,1094086
88,1094968,1093999
89,1094968,1094080
90,1094968,1093830
91,1094968,1094074
92,1094968,1093747
93,1094968,1094056
94,1094968,1093788
95,1094968,1094042
96,1094968,1093668
97,1094968,1093968
98,1094968,1093990
99,1094968,1093940
100,1094968,1094014
100,1094968,1094014
